,pokemon,hp,atk,def,spa,spd,spe,gender,type,level,ability,item,teratype,hitsPhysical,hitsSpecial,basePower,hasPriority,hasSTAB,hasCoverage,hitsPivot,hitsSetUp,hitsHazards,hasRemoval,hasKnockOff,hasStatus,hp_ev,atk_ev,def_ev,spa_ev,spd_ev,spe_ev,hp_iv,atk_iv,def_iv,spa_iv,spd_iv,spe_iv,nature,format
0,Ditto,1,1,1,1,1,1,0,1681,0,54,59,16,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,0,21,ZU
1,Ditto,1,1,1,1,1,1,0,1681,0,54,59,12,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,3,3,3,3,3,0,18,AG
2,Ditto,1,1,1,1,1,1,0,1681,0,54,59,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,0,21,Uber
3,Ditto,1,1,1,1,1,1,0,1681,0,54,59,8,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,3,3,3,3,3,0,18,OU
4,Ditto,1,1,1,1,1,1,0,1681,0,54,59,16,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,3,3,3,3,3,0,18,RU
5,Ditto,1,1,1,1,1,1,0,1681,0,54,59,16,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,3,3,3,3,3,0,21,NU
6,Gholdengo,2,1,2,3,2,1,0,1357,0,292,10,4,0,1,3,0,1,1,0,1,0,0,0,1,0,0,0,3,0,3,3,0,3,3,3,3,24,OU
7,Gholdengo,2,1,2,3,2,1,0,1357,0,292,10,4,0,1,2,0,1,0,0,1,0,0,0,1,3,0,2,0,0,1,3,3,3,3,3,3,2,OU
8,Gholdengo,2,1,2,3,2,1,0,1357,0,292,10,4,0,1,2,0,1,0,0,0,0,0,0,1,3,0,2,0,0,1,3,3,3,3,3,3,2,OU
9,Gholdengo,2,1,2,3,2,1,0,1357,0,292,59,5,0,1,3,0,1,1,0,0,0,0,0,1,0,0,0,3,0,3,3,3,3,3,3,3,24,OU
